		(1)
VARIABLES	LABELS	y1
		
1bn._at		0.7936***
		(0.0056)
2._at		0.7935***
		(0.0055)
3._at		0.7935***
		(0.0054)
4._at		0.7934***
		(0.0054)
5._at		0.7934***
		(0.0053)
6._at		0.7933***
		(0.0052)
7._at		0.7933***
		(0.0051)
8._at		0.7932***
		(0.0051)
9._at		0.7932***
		(0.0050)
10._at		0.7932***
		(0.0049)
11._at		0.7931***
		(0.0049)
12._at		0.7931***
		(0.0048)
13._at		0.7930***
		(0.0047)
14._at		0.7930***
		(0.0046)
15._at		0.7929***
		(0.0046)
16._at		0.7929***
		(0.0045)
17._at		0.7929***
		(0.0044)
18._at		0.7928***
		(0.0044)
19._at		0.7928***
		(0.0043)
20._at		0.7927***
		(0.0042)
21._at		0.7927***
		(0.0042)
22._at		0.7926***
		(0.0041)
23._at		0.7926***
		(0.0040)
24._at		0.7925***
		(0.0040)
25._at		0.7925***
		(0.0039)
26._at		0.7925***
		(0.0038)
27._at		0.7924***
		(0.0038)
28._at		0.7924***
		(0.0037)
29._at		0.7923***
		(0.0036)
30._at		0.7923***
		(0.0036)
31._at		0.7922***
		(0.0035)
32._at		0.7922***
		(0.0035)
33._at		0.7922***
		(0.0034)
34._at		0.7921***
		(0.0033)
35._at		0.7921***
		(0.0033)
36._at		0.7920***
		(0.0032)
37._at		0.7920***
		(0.0032)
38._at		0.7919***
		(0.0031)
39._at		0.7919***
		(0.0031)
40._at		0.7918***
		(0.0030)
41._at		0.7918***
		(0.0030)
42._at		0.7918***
		(0.0029)
43._at		0.7917***
		(0.0029)
44._at		0.7917***
		(0.0028)
45._at		0.7916***
		(0.0028)
46._at		0.7916***
		(0.0027)
47._at		0.7915***
		(0.0027)
48._at		0.7915***
		(0.0027)
49._at		0.7915***
		(0.0026)
50._at		0.7914***
		(0.0026)
51._at		0.7914***
		(0.0026)
52._at		0.7913***
		(0.0025)
53._at		0.7913***
		(0.0025)
54._at		0.7912***
		(0.0025)
55._at		0.7912***
		(0.0024)
56._at		0.7911***
		(0.0024)
57._at		0.7911***
		(0.0024)
58._at		0.7911***
		(0.0024)
59._at		0.7910***
		(0.0024)
60._at		0.7910***
		(0.0024)
61._at		0.7909***
		(0.0024)
62._at		0.7909***
		(0.0024)
63._at		0.7908***
		(0.0024)
64._at		0.7908***
		(0.0024)
65._at		0.7908***
		(0.0024)
66._at		0.7907***
		(0.0024)
67._at		0.7907***
		(0.0024)
68._at		0.7906***
		(0.0024)
69._at		0.7906***
		(0.0024)
70._at		0.7905***
		(0.0024)
71._at		0.7905***
		(0.0025)
72._at		0.7904***
		(0.0025)
73._at		0.7904***
		(0.0025)
74._at		0.7904***
		(0.0025)
75._at		0.7903***
		(0.0026)
76._at		0.7903***
		(0.0026)
77._at		0.7902***
		(0.0026)
78._at		0.7902***
		(0.0027)
79._at		0.7901***
		(0.0027)
80._at		0.7901***
		(0.0028)
81._at		0.7900***
		(0.0028)
82._at		0.7900***
		(0.0029)
83._at		0.7900***
		(0.0029)
84._at		0.7899***
		(0.0029)
85._at		0.7899***
		(0.0030)
86._at		0.7898***
		(0.0031)
87._at		0.7898***
		(0.0031)
88._at		0.7897***
		(0.0032)
89._at		0.7897***
		(0.0032)
90._at		0.7897***
		(0.0033)
91._at		0.7896***
		(0.0033)
92._at		0.7896***
		(0.0034)
93._at		0.7895***
		(0.0034)
94._at		0.7895***
		(0.0035)
95._at		0.7894***
		(0.0036)
96._at		0.7894***
		(0.0036)
97._at		0.7893***
		(0.0037)
98._at		0.7893***
		(0.0038)
99._at		0.7893***
		(0.0038)
100._at		0.7892***
		(0.0039)
101._at		0.7892***
		(0.0040)
		
Observations		1,162,897
Standard errors in parentheses		
*** p<0.01, ** p<0.05, * p<0.1		
